"Rank","City","Country","Quality of Life Index","Purchasing Power Index","Safety Index","Health Care Index","Cost of Living Index","Property Price to Income Ratio","Traffic Commute Time Index","Pollution Index","Climate Index"
"46","Brno","CzechRepublic","175.2","97.6","74.5","76.3","42.8","13.2","26","40.8","78.2"
"47","Split","Croatia","174.4","69","68.7","71.5","46","16.8","18.4","26.6","96.3"
"48","Doha","Qatar","174.3","140.8","83.9","73.4","52.2","5.6","29.2","59.9","36"
"49","Dubai","UnitedArabEmirates","174.1","122.7","83.7","69.7","60","4.9","36.3","48.7","50.3"
"50","Edmonton","Canada","173.4","120.9","53.5","77.3","62.5","3.8","28.1","28.8","32.1"
"51","Ottawa","Canada","173.3","110.8","69.4","68.8","66.9","7.8","34.4","24.5","44.5"
"52","Tokyo","Japan","173.2","109.4","76","79","51.9","13.8","42.5","42.4","85.3"
"53","Cologne","Germany","173.1","117.5","57.5","72.8","62.7","10.2","35.9","38.4","84.8"
"54","Vilnius","Lithuania","172.6","79.3","72.8","76","48.2","13.5","26.2","25","66.6"
"55","Zagreb","Croatia","172","83.1","78.7","65.1","46.8","12.2","30","33.3","82.2"
"56","Houston","UnitedStates","171.8","162.9","36.4","69.3","65.1","2.5","41.6","57.1","85.5"
"57","Wellington","NewZealand","171.4","88.4","67","64.3","70.3","13.3","39.3","23.6","97.7"
"58","Vancouver","Canada","171.3","98.1","57.7","72","69.1","13.7","36.7","25.5","91.2"
"59","Berlin","Germany","170.5","120.4","55.4","67.5","64.7","11","33.7","38.7","83.3"
"60","Victoria","Canada","169.9","79.5","58.9","66.3","72.1","13.2","32","18.4","92.5"
"61","Prague","CzechRepublic","168.2","85.1","75.5","74.7","49.4","17.2","31.8","33.5","80.7"
